#DATE,PRCP,TMAX,TMIN
20140101,0,72,33
20140102,41,106,61
20140103,15,89,28
20140104,0,78,6
20140105,0,83,-5
20140106,3,78,-5
20140107,122,83,50
20140108,97,100,72
20140109,58,94,56
20140110,43,128,83
20140111,213,144,72
20140112,15,111,56
20140113,0,106,100
20140114,0,111,72
20140115,0,111,56
20140116,0,67,44
20140117,0,56,28
20140118,0,94,6
20140119,0,61,33
20140120,0,100,28
20140121,0,100,17
20140122,5,94,56
20140123,0,100,28
20140124,0,128,11
20140125,0,122,11
20140126,0,83,6
20140127,0,94,17
20140128,89,111,61
20140129,216,111,72
20140130,0,83,61
20140131,23,78,56
20140201,20,78,28
20140202,0,89,11
20140203,0,50,0
20140204,0,28,-21
20140205,0,-5,-55
20140206,0,-16,-60
20140207,0,33,-49
20140208,51,56,-5
20140209,5,39,0
20140210,183,100,22
20140211,170,122,56
20140212,46,122,72
20140213,18,128,78
20140214,94,117,61
20140215,117,111,50
20140216,264,94,39
20140217,145,83,44
20140218,152,89,50
20140219,10,83,39
20140220,30,100,56
20140221,28,67,39
20140222,25,56,28
20140223,61,72,39
20140224,130,67,33
20140225,3,122,39
20140226,0,139,56
20140227,0,128,44
20140228,0,144,44
20140301,5,72,44
20140302,191,111,28
20140303,107,144,89
20140304,165,139,78
20140305,467,156,106
20140306,30,133,100
20140307,0,156,89
20140308,323,128,67
20140309,43,150,94
20140310,188,122,61
20140311,0,144,44
20140312,0,161,33
20140313,5,139,50
20140314,69,144,83
20140315,81,167,44
20140316,277,106,44
20140317,3,100,28
20140318,0,100,33
20140319,5,111,33
20140320,0,111,17
20140321,0,106,28
20140322,0,111,11
20140323,0,128,44
20140324,0,189,28
20140325,41,139,67
20140326,36,111,56
20140327,3,122,67
20140328,221,117,72
20140329,140,117,72
20140330,0,111,50
20140331,0,156,22
20140401,0,144,67
20140402,0,144,56
20140403,25,133,61
20140404,0,128,61
20140405,46,117,78
20140406,0,139,83
20140407,0,211,94
20140408,46,156,83
20140409,0,144,67
20140410,0,150,67
20140411,0,172,50
20140412,0,161,78
20140413,0,206,56
20140414,0,200,56
20140415,5,144,78
20140416,109,111,89
20140417,185,117,72
20140418,0,144,56
20140419,137,117,56
20140420,0,156,56
20140421,51,172,78
20140422,142,122,50
20140423,89,117,61
20140424,124,139,61
20140425,0,144,56
20140426,33,150,56
20140427,69,111,61
20140428,0,161,44
20140429,0,250,94
20140430,0,278,94
20140501,0,294,111
20140502,0,183,106
20140503,333,150,89
20140504,160,144,89
20140505,51,156,94
20140506,0,167,83
20140507,0,183,72
20140508,137,139,94
20140509,20,133,72
20140510,5,156,72
20140511,0,189,83
20140512,0,244,94
20140513,0,267,128
20140514,0,278,133
20140515,0,267,128
20140516,0,200,117
20140517,0,200,117
20140518,0,200,106
20140519,0,211,100
20140520,0,222,100
20140521,0,200,106
20140522,0,244,117
20140523,38,200,128
20140524,0,183,111
20140525,56,150,106
20140526,0,183,111
20140527,0,200,100
20140528,0,189,100
20140529,0,189,111
20140530,0,206,89
20140531,0,233,100
20140601,0,222,106
20140602,0,233,111
20140603,0,183,111
20140604,0,194,100
20140605,0,222,100
20140606,0,250,106
20140607,0,244,133
20140608,0,233,122
20140609,0,211,133
20140610,0,200,122
20140611,0,239,111
20140612,18,217,122
20140613,64,156,111
20140614,0,178,117
20140615,5,183,100
20140616,36,178,89
20140617,13,178,100
20140618,0,189,111
20140619,8,256,117
20140620,3,200,100
20140621,0,222,106
20140622,0,250,111
20140623,0,250,133
20140624,0,244,144
20140625,0,261,139
20140626,0,211,144
20140627,18,211,139
20140628,23,200,133
20140629,0,206,128
20140630,0,256,128
20140701,0,344,156
20140702,0,272,144
20140703,0,217,139
20140704,0,239,139
20140705,0,244,133
20140706,0,289,150
20140707,0,272,178
20140708,0,300,156
20140709,0,267,139
20140710,0,289,128
20140711,0,311,150
20140712,0,322,167
20140713,0,294,150
20140714,0,278,150
20140715,0,311,139
20140716,0,311,144
20140717,0,267,139
20140718,0,239,117
20140719,0,256,150
20140720,0,194,144
20140721,0,239,133
20140722,3,211,133
20140723,193,189,133
20140724,0,206,128
20140725,0,228,122
20140726,0,261,133
20140727,0,283,150
20140728,0,306,150
20140729,0,300,156
20140730,0,294,144
20140731,0,306,178
20140801,0,289,150
20140802,5,294,156
20140803,0,317,144
20140804,0,328,161
20140805,0,250,139
20140806,0,261,150
20140807,0,256,133
20140808,0,256,133
20140809,0,272,156
20140810,0,306,139
20140811,5,356,178
20140812,127,272,172
20140813,216,233,150
20140814,0,211,172
20140815,10,244,167
20140816,0,256,156
20140817,0,278,150
20140818,0,294,156
20140819,0,272,156
20140820,0,217,139
20140821,0,211,111
20140822,0,239,133
20140823,0,278,139
20140824,0,250,133
20140825,0,289,144
20140826,0,311,156
20140827,0,289,161
20140828,0,233,144
20140829,0,228,150
20140830,84,178,150
20140831,13,211,139
20140901,0,233,128
20140902,30,200,139
20140903,0,206,128
20140904,0,239,111
20140905,0,278,139
20140906,0,322,150
20140907,0,283,133
20140908,0,211,133
20140909,0,217,133
20140910,0,222,122
20140911,0,244,128
20140912,0,244,128
20140913,0,283,100
20140914,0,300,117
20140915,0,306,122
20140916,0,222,139
20140917,5,228,144
20140918,3,194,150
20140919,0,239,161
20140920,0,244,144
20140921,0,261,128
20140922,3,222,150
20140923,183,189,144
20140924,203,189,144
20140925,43,217,144
20140926,89,200,139
20140927,0,206,117
20140928,0,189,122
20140929,8,167,111
20140930,0,194,122
20141001,0,183,111
20141002,0,194,100
20141003,0,222,89
20141004,0,217,122
20141005,0,239,117
20141006,0,256,133
20141007,0,189,139
20141008,0,206,128
20141009,0,172,111
20141010,3,183,100
20141011,74,183,117
20141012,0,178,117
20141013,76,211,100
20141014,71,167,117
20141015,86,161,117
20141016,0,206,111
20141017,33,167,117
20141018,150,194,139
20141019,0,222,128
20141020,117,161,122
20141021,10,161,117
20141022,320,156,117
20141023,94,144,83
20141024,41,144,89
20141025,61,167,83
20141026,15,128,78
20141027,8,156,67
20141028,127,150,94
20141029,5,167,117
20141030,254,156,111
20141031,170,128,83
20141101,0,111,72
20141102,18,133,72
20141103,109,139,111
20141104,41,144,106
20141105,48,150,106
20141106,41,167,106
20141107,0,144,72
20141108,0,128,39
20141109,51,133,78
20141110,0,111,56
20141111,0,78,11
20141112,0,67,0
20141113,0,72,6
20141114,0,72,-21
20141115,0,83,-16
20141116,0,94,-21
20141117,0,106,-21
20141118,0,72,-5
20141119,0,111,22
20141120,36,111,56
20141121,152,111,83
20141122,5,94,67
20141123,119,128,56
20141124,13,117,44
20141125,183,139,94
20141126,3,150,122
20141127,33,144,117
20141128,343,128,33
20141129,36,44,-43
20141130,0,28,-49
20141201,0,44,-32
20141202,0,56,-32
20141203,0,100,0
20141204,8,83,39
20141205,30,128,67
20141206,74,117,78
20141207,0,144,61
20141208,91,144,89
20141209,99,161,106
20141210,130,189,100
20141211,69,144,83
20141212,0,111,72
